sentence,labels
"O, qırmızı, böyük maşını sürdü.",un ad ad nn un
"Bu, isti, qəhvə, səhərimi gözəlləşdirdi.",un ad nn un un
"Bu, kiçik, taxta qutu, xəzinəmdir.",un ad ad nn nn
"O, sakit, dəniz sahilində gəzdi.",un ad nn un un
"Böyük, dəmir qapı, qalanı qoruyur.",ad ad nn nn un
"Bu, maraqlı filmdir.",un ad nn
"Yeni, avtomobil, sürətlidir.",ad nn un
"Gözəl, çiçək, ətirlidir.",ad nn un
"Uzaq, səma, mavi rəngdədir.",ad nn un ad
"Dərin, su, soyuqdur.",ad nn un
"Köhnə, bina, tarixlidir.",ad nn un
"Şirin, meyvə, yeyilməlidir.",ad nn un
"O, ağıllı, uşaqdır.",un ad nn
"Bu, soyuq, hava, xəstələndirdi.",un ad nn un
"Geniş, çöl, sakitdir.",ad nn un
"Uzun, yol, yorucudur.",ad nn un
"Sərt, qayalar, təhlükəlidir.",ad nn un
"Bu, kiçik, ev, rahatdır.",un ad nn un
"Dəyərli, əşyalar, saxlanılmalıdır.",ad nn un
"O, sakit, parkda oturdu.",un ad un un
"Bu, dadlı, yeməkdir.",un ad nn
"Böyük, qala, möhtəşəmdir.",ad nn un
"O, sürətli, qaçdı.",un ad un
"Bu, qəribə, hadisədir.",un ad nn
"Yeni, iş, çətindir.",ad nn un
"Gözəl, mənzərə, xoşdur.",ad nn un
"Uzaq, ölkə, maraqlıdır.",ad nn un
"Bu, isti, ölkədir.",un ad nn
"Dərin, düşüncələr, ağıllıdır.",ad nn un
"Köhnə, dost, unudulmur.",ad nn un
"Şirin, xəyallar, xoşdur.",ad nn un
"O, ağıllı, insan, hörmətlidir.",un ad nn un
"Bu, soyuq, içki, təravətləndirir.",un ad nn un
"Geniş, imkanlar, gözləyir.",ad nn un
"Uzun, müzakirələr, yorucudur.",ad nn un
"Sərt, tənqidlər, faydalıdır.",ad nn un
"O, sakit, dərslərini oxudu.",un ad un un
"Bu, dadlı, şirniyyatdır.",un ad nn
"Böyük, ümidlər, var.",ad nn un
"O, qısa, boylu, güclüdür.",un ad ad un
"Bu, qəribə, səsdir.",un ad nn
"Yeni, imtahan, yaxınlaşır.",ad nn un
"Gözəl, xatirələr, unudulmur.",ad nn un
"Uzaq, gələcək, qaranlıqdır.",ad nn un
"Bu, isti, evdəyəm.",un ad un
"Dərin, duyğular, güclüdür.",ad nn un
"Köhnə, kitablar, dəyərlidir.",ad nn un
"Şirin, sözlər, yalandır.",ad nn un
"O, ağıllı, cavablar verdi.",un ad nn un
"Bu, soyuq, qışda gəlir.",un ad un un
"Geniş, otaq, boşdur.",ad nn un
"Uzun, saçları var.",ad nn un
"Sərt, hava, çətindir.",ad nn un
"Bu, kiçik, problemdir.",un ad nn
"Dəyərli, vaxt, itirilir.",ad nn un
"O, sakit, səssizcə dinlədi.",un ad un un
"Bu, dadlı, yemək, bişirildi.",un ad nn un
"Böyük, layihələr, gözləyir.",ad nn un
"O, qısa, müddətdə qayıtdı.",un ad un un
"Bu, qəribə, film, baxıldı.",un ad nn un
"Yeni, bacarıqlar, öyrənildi.",ad nn un
"Gözəl, rəsmlər, çəkildi.",ad nn un
"Uzaq, səfər, planlaşdırılır.",ad nn un
"Bu, isti, yayda xoşdur.",un ad un un
"Dərin, yuxu, gördüm.",ad nn un
"Köhnə, paltarlar, atıldı.",ad nn un
"Şirin, tort, yeyildi.",ad nn un
"O, ağıllı, suallar verdi.",un ad nn un
"Bu, soyuq, hava, bezdirdi.",un ad nn un
"Geniş, bağ, gözəldir.",ad nn un
"Uzun, yollar, yorucudur.",ad nn un
"Sərt, sözlər, eşidildi.",ad nn un
"Bu, kiçik, hədiyyədir.",un ad nn
"Dəyərli, əşyalar, satıldı.",ad nn un
"O, sakit, otaqda qaldı.",un ad un un
"Bu, dadlı, yeməklər, yedik.",un ad nn un
"Böyük, arzular, var.",ad nn un
"O, qısa, boylu, zəifdir.",un ad ad un
"Bu, qəribə, görünüşdür.",un ad nn
"Yeni, imkanlar, açıldı.",ad nn un
"Gözəl, mahnılar, oxundu.",ad nn un
"Uzaq, xəyallar, gördüm.",ad nn un
"Bu, isti, yayda sevinirik.",un ad un un
"Dərin, sirlər, saxlanılır.",ad nn un
"Köhnə, şəkillər, baxıldı.",ad nn un
"Şirin, şirniyyatlar, sevildi.",ad nn un
"O, ağıllı, tələbədir.",un ad nn
"Bu, soyuq, su, içdim.",un ad nn un
"Geniş, səma, mavi rəngdədir.",ad nn un ad
"Uzun, söhbətlər, etdik.",ad nn un
"Sərt, qərarlar, verildi.",ad nn un
"Bu, kiçik, evdə yaşayırıq.",un ad un un
"Dəyərli, vaxt, keçdi.",ad nn un
"O, sakit, sakitcə oturdu.",un ad un un
"Bu, dadlı, yemək, yedik.",un ad nn un
"O, qısa, zamanda qayıtdı.",un ad un un
"Bu, qəribə, filmdir.",un ad nn
"Gözəl, mənzərə, heyran etdi.",ad nn un un
"Uzaq, səyahətə çıxdıq.",ad un un
"Bu, isti, çay, içdim.",un ad nn un
"Dərin, sular, çəkildi.",ad nn un
"Köhnə, dostlar, görüşdük.",ad nn un
"Şirin, sözlər, dedi.",ad nn un
"O, ağıllı, insanlarla danışdı.",un ad nn un
"Bu, soyuq, gündə evdə qaldım.",un ad un un un
"Geniş, sahə, əkildi.",ad nn un
"Sərt, qərarlar, alındı.",ad nn un
"Bu, kiçik, dünyada yaşayırıq.",un ad un un
"Dəyərli, vaxt, itirməyin.",ad nn un
"Bu, dadlı, tort, yedik.",un ad nn un
"O, qısa, zamanda gəldi.",un ad un un
"Bu, qəribə, hadisə, baş verdi.",un ad nn un un
"Yeni, layihələr, başladı.",ad nn un
"Gözəl, şəkillər, çəkildi.",ad nn un
"Uzaq, səfərə getdik.",ad un un
"Bu, isti, havada gəzdim.",un ad un un
"Dərin, sular, axdı.",ad nn un
"Köhnə, evlər, söküldü.",ad nn un
"Şirin, yeməklər, yedim.",ad nn un
"O, ağıllı, tələbələr, yarışdı.",un ad nn un
"Bu, soyuq, suda üzmək çətindir.",un ad un un un
"Geniş, sahədə oturduq.",ad nn un
"Uzun, yolda getdik.",ad un un
"Sərt, qərarlar vermək çətindir.",ad nn un un
"Bu, kiçik, dünyadır.",un ad nn
"Dəyərli, vaxtımız gedir.",ad nn un
"Bu, dadlı, yemək, xoşdur.",un ad nn un
"Böyük, problemlər, var.",ad nn un
"O, qısa, zamanda döndü.",un ad un un
"Bu, qəribə, yuxu gördüm.",un ad nn un
"Yeni, il, başladı.",ad nn un
"Gözəl, çiçəklər, açdı.",ad nn un
"Uzaq, ölkəyə səfər etdim.",ad un un un
"Bu, isti, evdə oturmaq xoşdur.",un ad un un un
"Dərin, duyğular, var.",ad nn un
"Köhnə, əşyalar, satdıq.",ad nn un
"Şirin, söhbət etdik.",ad un un
"O, ağıllı, insanlarla dostluq etdi.",un ad nn un un
"Bu, soyuq, havada gəzmək çətindir.",un ad un un un
"Geniş, sahəni gördüm.",ad nn un
"Sərt, qərarları verdim.",ad nn un
"Bu, kiçik, dünyada yaşayıram.",un ad un un
"Dəyərli, vaxtımı itirdim.",ad nn un
"O, sakit, səssizcə oturdu.",un ad un un
"Bu, dadlı, yemək, sevirəm.",un ad nn un
"Böyük, arzularım var.",ad nn un
"O, qısa, müddətdə getdi.",un ad un un
"Bu, qəribə, səs eşitdim.",un ad nn un
"Gözəl, mənzərəni seyr etdim.",ad nn un un
"Uzaq, səyahət planladım.",ad un un
"Dərin, sulara baxdım.",ad nn un
"Köhnə, dostlarla görüşdüm.",ad nn un
"Şirin, xəyallar qururam.",ad nn un
"O, ağıllı, insanlara hörmət edirəm.",un ad nn un un
"Bu, soyuq, gündə evdə qalıram.",un ad un un un
"Geniş, sahəyə baxdım.",ad nn un
"Uzun, yolu bitirdim.",ad nn un
"Bu, kiçik, evdə rahatam.",un ad un un
"Dəyərli, vaxtımı boşa vermədim.",ad nn un un
"O, sakit, səssizcə izlədi.",un ad un un
"Bu, dadlı, yeməyi hazırladım.",un ad nn un
"Böyük, problemlərlə üzləşdim.",ad nn un
"Bu, qəribə, filmə baxdım.",un ad nn un
"Yeni, işə başladım.",ad un un
"Gözəl, musiqini dinlədim.",ad nn un
"Uzaq, ölkəyə getmək istəyirəm.",ad un un un
"Bu, isti, havada dincəldim.",un ad un un
"Dərin, sulara daldım.",ad nn un
"Köhnə, xatirələri xatırladım.",ad nn un
